participant_id,constant,has_rel,pair_id,sub_id
1090,-1,1,1,1
1140,-1,1,1,2
1155,-1,1,1,3
1186,-1,1,1,4
1189,-1,1,1,5
1370,-1,1,1,6
1410,-1,1,1,7
1417,-1,1,1,8
1755,-1,1,1,9
20027,-1,1,1,10
20106,-1,1,1,11
20131,-1,1,1,12
20209,-1,1,1,13
20255,-1,1,1,14
20358,-1,1,1,15
20399,-1,2,2,16
20433,-1,2,3,17
20435,-1,1,1,18
20457,-1,1,1,19
20569,-1,1,1,20
20587,-1,1,1,21
20631,-1,1,1,22
20722,-1,2,4,23
20730,-1,1,1,24
20758,-1,1,1,25
20771,-1,1,1,26
20773,-1,2,4,27
20869,-1,1,1,28
20884,-1,1,1,29
20910,-1,1,1,30
20937,-1,1,1,31
20965,-1,1,1,32
20968,-1,2,3,33
20974,-1,1,1,34
21013,-1,1,1,35
21068,-1,1,1,36
21120,-1,1,1,37
21125,-1,1,1,38
21163,-1,1,1,39
21209,-1,1,1,40
21271,-1,1,1,41
21336,-1,1,1,42
21420,-1,1,1,43
21454,-1,1,1,44
21462,-1,1,1,45
21590,-1,1,1,46
21604,-1,1,1,47
21606,-1,1,1,48
21615,-1,1,1,49
21618,-1,1,1,50
21624,-1,1,1,51
21625,-1,1,1,52
21651,-1,1,1,53
21662,-1,1,1,54
21683,-1,1,1,55
21712,-1,1,1,56
21785,-1,1,1,57
21789,-1,2,5,58
21807,-1,1,1,59
22112,-1,1,1,60
22128,-1,1,1,61
22166,-1,2,6,62
22183,-1,1,1,63
22196,-1,2,5,64
22267,-1,1,1,65
22281,-1,1,1,66
22302,-1,1,1,67
22309,-1,1,1,68
22315,-1,1,1,69
22400,-1,2,2,70
22401,-1,1,1,71
22421,-1,1,1,72
22437,-1,1,1,73
22438,-1,1,1,74
22441,-1,1,1,75
22485,-1,1,1,76
22562,-1,1,1,77
22572,-1,1,1,78
22611,-1,1,1,79
22631,-1,1,1,80
22676,-1,1,1,81
22686,-1,2,7,82
22687,-1,2,7,83
22690,-1,1,1,84
22701,-1,1,1,85
22719,-1,1,1,86
22721,-1,1,1,87
22746,-1,1,1,88
22803,-1,1,1,89
22809,-1,1,1,90
22834,-1,1,1,91
22853,-1,1,1,92
22857,-1,1,1,93
22861,-1,2,8,94
22862,-1,2,8,95
22881,-1,2,6,96
22888,-1,1,1,97
22892,-1,1,1,98
22908,-1,1,1,99
22935,-1,1,1,100
22954,-1,1,1,101
22959,-1,1,1,102
22962,-1,1,1,103
23009,-1,1,1,104
23041,-1,1,1,105
23066,-1,1,1,106
23067,-1,1,1,107
23072,-1,1,1,108
23091,-1,1,1,109
23111,-1,2,9,110
23112,-1,2,9,111
23122,-1,1,1,112
23146,-1,1,1,113
23159,-1,1,1,114
23166,-1,2,10,115
23167,-1,2,10,116
23195,-1,1,1,117
23204,-1,2,11,118
23216,-1,1,1,119
23218,-1,2,11,120
23236,-1,1,1,121
23272,-1,2,12,122
23273,-1,2,12,123
23279,-1,1,1,124
23284,-1,1,1,125
23286,-1,1,1,126
23332,-1,1,1,127
23378,-1,1,1,128
23393,-1,1,1,129
23401,-1,1,1,130
23414,-1,1,1,131
23460,-1,1,1,132